Subregion,CorrCoeff_Pearson_AAR,CorrCoeff_Pearson_AAR_Std,CorrCoeff_Spearman_AAR,CorrCoeff_Spearman_AAR_Std,CorrCoeff_Pearson_Median_Snowline_Elevations,CorrCoeff_Pearson_Median_Snowline_Elevations_Std,CorrCoeff_Spearman_Median_Snowline_Elevations,CorrCoeff_Spearman_Median_Snowline_Elevations_Std
All,-0.3661574162570549,5.551115123125783e-17,0.24603635684586198,0.0,0.23563116246003052,5.551115123125783e-17,0.24603635684586198,0.0
Alaska Range,-0.24279944114170107,1.1102230246251565e-16,0.3217986534083127,1.1102230246251565e-16,0.28497643421363295,1.1102230246251565e-16,0.3217986534083127,1.1102230246251565e-16
Aleutians,-0.3579484778391677,1.1102230246251565e-16,0.3165812084454802,0.0,0.270894358755534,5.551115123125783e-17,0.3165812084454802,0.0
W. Chugach Mtns.,-0.21152598214168708,5.551115123125783e-17,0.1275074679695664,2.7755575615628914e-17,0.09258086169734676,2.7755575615628914e-17,0.1275074679695664,2.7755575615628914e-17
St. Elias Mtns.,-0.1347606210808181,5.551115123125783e-17,0.15972447820406546,0.0,0.1805752275771832,0.0,0.15972447820406546,0.0
N. Coast Ranges,-0.45278760507123034,5.551115123125783e-17,0.3072998541318852,5.551115123125783e-17,0.2624851256064322,1.1102230246251565e-16,0.3072998541318852,5.551115123125783e-17
N. Rockies,-0.17760920910203332,5.551115123125783e-17,0.2954855511899294,1.1102230246251565e-16,0.23031736033496142,2.7755575615628914e-17,0.2954855511899294,1.1102230246251565e-16
N. Cascades,-0.4962683621637735,0.0,0.45891912645577543,1.6653345369377348e-16,0.42112588945684587,1.6653345369377348e-16,0.45891912645577543,1.6653345369377348e-16
C. Rockies,-0.39755293037107253,0.0,0.32324915055145537,0.0,0.2868451656288053,5.551115123125783e-17,0.32324915055145537,0.0
S. Cascades,-0.4461683657624204,2.7755575615628914e-16,0.26494885072829816,5.551115123125783e-17,0.49633708413026284,0.0,0.26494885072829816,5.551115123125783e-17
